,Volatility_Copper_True_train,Volatility_Copper_3_train_LSTM,Volatility_Copper_5_train_LSTM,Volatility_Copper_7_train_LSTM,Volatility_Copper_9_train_LSTM,Volatility_Copper_11_train_LSTM,Volatility_Copper_13_train_LSTM,Volatility_Copper_15_train_LSTM
2010-05-13,0.38734060540951676,0.36588603,0.36415887,0.36668906,0.3649154,0.34607887,0.338917,0.32128155
2010-05-14,0.38708179407727394,0.36614543,0.36884147,0.3727371,0.35721317,0.36140352,0.32415992,0.31407917
2010-05-17,0.37372983127894344,0.3687528,0.37238255,0.36226717,0.35519138,0.34704167,0.3098083,0.3126431
2010-05-18,0.3743136908229633,0.37251434,0.37861723,0.3562359,0.37461704,0.33188206,0.3005646,0.3092975
2010-05-19,0.3784175254657731,0.37526113,0.36654496,0.35531855,0.35733134,0.31849742,0.29817986,0.30358887
2010-05-20,0.3827290546012252,0.3821876,0.3614828,0.37452593,0.33926827,0.31020477,0.2964905,0.29808974
2010-05-21,0.3855339042239234,0.3653283,0.36160693,0.35523024,0.32423124,0.3083085,0.29306546,0.29655346
2010-05-24,0.3933468954004208,0.3675413,0.3814752,0.337956,0.3175048,0.3062149,0.28872937,0.28930277
2010-05-25,0.3730889786577205,0.36532193,0.35801715,0.3263486,0.31937212,0.30181855,0.28659216,0.2871924
2010-05-26,0.375462203346394,0.38728482,0.34179372,0.32111388,0.3187382,0.29644814,0.28014314,0.2875088
2010-05-27,0.3744610458302189,0.3513131,0.3321743,0.3209289,0.3129298,0.29404777,0.27739948,0.2874349
2010-05-28,0.4025338853286069,0.34718907,0.32651225,0.31799176,0.30615813,0.2876107,0.2774027,0.28427282
2010-05-31,0.35584724861305117,0.33615848,0.3274882,0.31245723,0.30390865,0.28513864,0.27786887,0.26599476
2010-06-01,0.35402066817178723,0.33226615,0.32425097,0.3065291,0.2966312,0.2850319,0.27579957,0.24978738
2010-06-02,0.34196668763549987,0.33241454,0.31817457,0.30495366,0.2943163,0.285062,0.2606555,0.2526974
2010-06-03,0.33803652652323046,0.32710022,0.31258807,0.29783925,0.29485282,0.28237668,0.2441067,0.25049302
2010-06-04,0.3393474982942766,0.3213678,0.3112897,0.2952848,0.2951025,0.26686198,0.24175462,0.2365736
2010-06-07,0.3333439721043937,0.31641132,0.30353853,0.2957732,0.29176274,0.25061342,0.23963137,0.24162523
2010-06-08,0.3266429894676016,0.3160953,0.3015713,0.29562408,0.27293226,0.24922638,0.22957425,0.23993023
2010-06-09,0.321575837205183,0.30553064,0.30235985,0.29188973,0.2544425,0.24716303,0.23254967,0.23760447
2010-06-10,0.322026742481764,0.30720943,0.30155367,0.27362272,0.2565068,0.2365839,0.23194662,0.2392991
2010-06-11,0.309671708286576,0.3062778,0.29768384,0.2572207,0.25674528,0.2389957,0.23070467,0.24286544
2010-06-14,0.31250116016555196,0.3050824,0.27852622,0.26015443,0.24464571,0.23757975,0.23219028,0.24461564
2010-06-15,0.3122351025473249,0.30051315,0.26276854,0.25943732,0.24851409,0.2358021,0.23560008,0.23447463
